driver_id,date,total_transcations,total_distance,online_duration_in_seconds,orders_received,orders_accepted,earnings,orders_cancelled,label
140356056,2016-08-11,0,0.0,0,0,0,0.0,0,0
140513999,2016-08-11,0,0.0,0,0,0,0.0,0,0
140278978,2016-08-11,0,0.0,0,0,0,0.0,0,0
140210561,2016-08-11,0,0.0,0,0,0,0.0,0,0
140421774,2016-08-11,0,0.0,0,0,0,0.0,0,0
140142923,2016-08-11,0,0.0,3846,0,0,0.0,0,0
140350665,2016-08-11,0,0.0,1886,0,0,0.0,0,0
140501270,2016-08-11,0,0.0,0,0,0,0.0,0,1
140339541,2016-08-11,0,0.0,0,0,0,0.0,0,0
140563709,2016-08-11,0,0.0,0,0,0,0.0,0,0
140325812,2016-08-11,0,0.0,119,0,0,0.0,0,0
140163424,2016-08-11,0,0.0,0,0,0,0.0,0,1
140420818,2016-08-11,0,0.0,0,0,0,0.0,0,0
140235882,2016-08-11,0,0.0,0,0,0,0.0,0,0
140090380,2016-08-11,0,0.0,0,0,0,0.0,0,0
140114693,2016-08-11,0,0.0,0,0,0,0.0,0,0
140286723,2016-08-11,0,0.0,14,0,0,0.0,0,0
140400573,2016-08-11,0,0.0,6,0,0,0.0,0,0
140127601,2016-08-11,0,0.0,0,0,0,0.0,0,0
140499929,2016-08-11,0,0.0,0,0,0,0.0,0,0
140089757,2016-08-11,0,0.0,0,0,0,0.0,0,1
140240862,2016-08-11,0,0.0,16478,0,0,0.0,0,0
140261656,2016-08-11,0,0.0,0,0,0,0.0,0,0
140466197,2016-08-11,0,0.0,0,0,0,0.0,0,0
140209509,2016-08-11,0,0.0,0,0,0,0.0,0,0
140091161,2016-08-11,0,0.0,997,0,0,0.0,0,0
140289343,2016-08-11,0,0.0,0,0,0,0.0,0,0
140547724,2016-08-11,0,0.0,0,0,0,0.0,0,0
140677958,2016-08-11,0,0.0,0,0,0,0.0,0,0
140447210,2016-08-11,0,0.0,0,0,0,0.0,0,0
140500921,2016-08-11,0,0.0,0,0,0,0.0,0,1
140211574,2016-08-11,0,0.0,0,0,0,0.0,0,1
140420451,2016-08-11,0,0.0,0,0,0,0.0,0,0
140686590,2016-08-11,0,0.0,1029,0,0,0.0,0,0
140119455,2016-08-11,0,0.0,15,0,0,0.0,0,0
140113398,2016-08-11,0,0.0,280,0,0,0.0,0,0
140110837,2016-08-11,0,0.0,603,0,0,0.0,0,0
140111392,2016-08-11,0,0.0,0,0,0,0.0,0,0
140316829,2016-08-11,0,0.0,0,0,0,0.0,0,1
140588728,2016-08-11,0,0.0,206,0,0,0.0,0,0
140479363,2016-08-11,0,0.0,0,0,0,0.0,0,0
140174920,2016-08-11,0,0.0,14568,0,0,0.0,0,0
140396049,2016-08-11,0,0.0,0,0,0,0.0,0,1
140391696,2016-08-11,0,0.0,0,0,0,0.0,0,1
140218615,2016-08-11,0,0.0,0,0,0,0.0,0,0
140565108,2016-08-11,0,0.0,0,0,0,0.0,0,0
140659293,2016-08-11,0,0.0,0,0,0,0.0,0,0
140211632,2016-08-11,0,0.0,0,0,0,0.0,0,0
140669111,2016-08-11,0,0.0,0,0,0,0.0,0,0
140634503,2016-08-11,0,0.0,0,0,0,0.0,0,0
140319539,2016-08-11,0,0.0,0,0,0,0.0,0,0
140642123,2016-08-11,0,0.0,1455,0,0,0.0,0,0
140528934,2016-08-11,0,0.0,0,0,0,0.0,0,0
140679952,2016-08-11,0,0.0,407,0,0,0.0,0,0
140188056,2016-08-11,0,0.0,0,0,0,0.0,0,0
140578904,2016-08-11,0,0.0,0,0,0,0.0,0,0
140614234,2016-08-11,0,0.0,0,0,0,0.0,0,0
140311685,2016-08-11,0,0.0,0,0,0,0.0,0,1
140157958,2016-08-11,0,0.0,0,0,0,0.0,0,0
140466092,2016-08-11,0,0.0,0,0,0,0.0,0,0
140157903,2016-08-11,0,0.0,3721,0,0,0.0,0,0
140119336,2016-08-11,0,0.0,0,0,0,0.0,0,0
140663212,2016-08-11,0,0.0,0,0,0,0.0,0,0
140632161,2016-08-11,0,0.0,0,0,0,0.0,0,0
140617903,2016-08-11,0,0.0,1518,0,0,0.0,0,0
140485803,2016-08-11,0,0.0,0,0,0,0.0,0,0
140590601,2016-08-11,0,0.0,0,0,0,0.0,0,1
140191341,2016-08-11,0,0.0,3514,0,0,0.0,0,0
140466201,2016-08-11,0,0.0,0,0,0,0.0,0,0
140568876,2016-08-11,0,0.0,0,0,0,0.0,0,0
140627461,2016-08-11,0,0.0,0,0,0,0.0,0,0
140156453,2016-08-11,0,0.0,0,0,0,0.0,0,0
140291416,2016-08-11,0,0.0,0,0,0,0.0,0,0
140208849,2016-08-11,0,0.0,0,0,0,0.0,0,0
140247771,2016-08-11,0,0.0,5556,0,0,0.0,0,0
140588543,2016-08-11,0,0.0,0,0,0,0.0,0,0
140138288,2016-08-11,0,0.0,0,0,0,0.0,0,0
140176344,2016-08-11,0,0.0,1200,0,0,0.0,0,0
140650641,2016-08-11,0,0.0,0,0,0,0.0,0,1
140154565,2016-08-11,0,0.0,0,0,0,0.0,0,0
140155102,2016-08-11,0,0.0,0,0,0,0.0,0,0
140433731,2016-08-11,0,0.0,0,0,0,0.0,0,0
140531544,2016-08-11,0,0.0,0,0,0,0.0,0,0
140172988,2016-08-11,0,0.0,0,0,0,0.0,0,0
140497369,2016-08-11,0,0.0,0,0,0,0.0,0,1
140325308,2016-08-11,0,0.0,0,0,0,0.0,0,0
140138175,2016-08-11,0,0.0,0,0,0,0.0,0,0
140631394,2016-08-11,0,0.0,789,0,0,0.0,0,1
140345575,2016-08-11,0,0.0,2489,0,0,0.0,0,0
140179922,2016-08-11,0,0.0,0,0,0,0.0,0,0
140189861,2016-08-11,0,0.0,1613,0,0,0.0,0,0
140658582,2016-08-11,0,0.0,0,0,0,0.0,0,0
140610806,2016-08-11,0,0.0,0,0,0,0.0,0,0
140141966,2016-08-11,0,0.0,0,0,0,0.0,0,0
140276953,2016-08-11,0,0.0,0,0,0,0.0,0,0
140148626,2016-08-11,0,0.0,7852,0,0,0.0,0,0
140174329,2016-08-11,0,0.0,0,0,0,0.0,0,0
140576827,2016-08-11,0,0.0,0,0,0,0.0,0,0
140173978,2016-08-11,0,0.0,0,0,0,0.0,0,0
140583042,2016-08-11,0,0.0,0,0,0,0.0,0,1
140511596,2016-08-11,0,0.0,0,0,0,0.0,0,1
140341470,2016-08-11,0,0.0,0,0,0,0.0,0,1
140386746,2016-08-11,0,0.0,4398,0,0,0.0,0,1
140161617,2016-08-11,0,0.0,0,0,0,0.0,0,0
140386561,2016-08-11,0,0.0,782,0,0,0.0,0,0
140476405,2016-08-11,0,0.0,985,0,0,0.0,0,0
140564527,2016-08-11,0,0.0,0,0,0,0.0,0,0
140578508,2016-08-11,0,0.0,0,0,0,0.0,0,1
140511398,2016-08-11,0,0.0,0,0,0,0.0,0,0
140141939,2016-08-11,0,0.0,0,0,0,0.0,0,1
140288968,2016-08-11,0,0.0,0,0,0,0.0,0,0
140481721,2016-08-11,0,0.0,0,0,0,0.0,0,0
140350446,2016-08-11,0,0.0,0,0,0,0.0,0,0
140342339,2016-08-11,0,0.0,0,0,0,0.0,0,0
140298039,2016-08-11,0,0.0,0,0,0,0.0,0,0
140111741,2016-08-11,0,0.0,0,0,0,0.0,0,1
140173547,2016-08-11,0,0.0,0,0,0,0.0,0,0
140423473,2016-08-11,0,0.0,33,0,0,0.0,0,0
140214910,2016-08-11,0,0.0,0,0,0,0.0,0,0
140507868,2016-08-11,0,0.0,0,0,0,0.0,0,0
140114936,2016-08-11,0,0.0,0,0,0,0.0,0,0
140090457,2016-08-11,0,0.0,0,0,0,0.0,0,0
